season,team,nfl,nfl_team_id,espn,pfr,pff,pfflabel,fo,full,location,short_location,nickname,hyphenated,sbr,sbr_wins,sbr_name,draft_kings
2019,ARI,ARI,3800,ARI,CRD,1.0,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,1549,,,
2019,ATL,ATL,200,ATL,ATL,2.0,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,1546,,,
2019,BAL,BAL,325,BAL,RAV,3.0,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,1521,,,
2019,BUF,BUF,610,BUF,BUF,4.0,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,1526,,,
2019,CAR,CAR,750,CAR,CAR,5.0,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,1545,,,
2019,CHI,CHI,810,CHI,CHI,6.0,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,1540,,,
2019,CIN,CIN,920,CIN,CIN,7.0,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,1522,,,
2019,CLE,CLE,1050,CLE,CLE,8.0,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,1520,,,
2019,DAL,DAL,1200,DAL,DAL,9.0,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,1538,,,
2019,DEN,DEN,1400,DEN,DEN,10.0,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,denver-broncos,1534,,,
2019,DET,DET,1540,DET,DET,11.0,DET,DET,Detroit Lions,Detroit,Detroit,Lions,detroit-lions,1539,,,
2019,GB,GB,1800,GB,GNB,12.0,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,green-bay-packers,1542,,,
2019,HOU,HOU,2120,HOU,HTX,13.0,HST,HOU,Houston Texans,Houston,Houston,Texans,houston-texans,1530,,,
2019,IND,IND,2200,IND,CLT,14.0,IND,IND,Indianapolis Colts,Indianapolis,Indianapolis,Colts,indianapolis-colts,1527,,,
2019,JAX,JAX,2250,JAX,JAX,15.0,JAX,JAX,Jacksonville Jaguars,Jacksonville,Jacksonville,Jaguars,jacksonville-jaguars,1529,,,
2019,KC,KC,2310,KC,KAN,16.0,KC,KC,Kansas City Chiefs,Kansas City,Kansas City,Chiefs,kansas-city-chiefs,1531,,,
2019,LAC,LAC,4400,LAC,SDG,27.0,LAC,LAC,Los Angeles Chargers,Los Angeles Chargers,LA Chargers,Chargers,los-angeles-chargers,75380,,,
2019,LA,LA,2510,LAR,RAM,26.0,LA,LAR,Los Angeles Rams,Los Angeles Rams,LA Rams,Rams,los-angeles-rams,1550,,,
2019,MIA,MIA,2700,MIA,MIA,17.0,MIA,MIA,Miami Dolphins,Miami,Miami,Dolphins,miami-dolphins,1524,,,
2019,MIN,MIN,3000,MIN,MIN,18.0,MIN,MIN,Minnesota Vikings,Minnesota,Minnesota,Vikings,minnesota-vikings,1541,,,
2019,NE,NE,3200,NE,NWE,19.0,NE,NE,New England Patriots,New England,New England,Patriots,new-england-patriots,1525,,,
2019,NO,NO,3300,NO,NOR,20.0,NO,NO,New Orleans Saints,New Orleans,New Orleans,Saints,new-orleans-saints,1543,,,
2019,NYG,NYG,3410,NYG,NYG,21.0,NYG,NYG,New York Giants,New York Giants,NY Giants,Giants,new-york-giants,1535,,,
2019,NYJ,NYJ,3430,NYJ,NYJ,22.0,NYJ,NYJ,New York Jets,New York Jets,NY Jets,Jets,new-york-jets,1523,,,
2019,OAK,OAK,2520,OAK,RAI,23.0,OAK,OAK,Oakland Raiders,Oakland,Oakland,Raiders,oakland-raiders,1533,,,
2019,PHI,PHI,3700,PHI,PHI,24.0,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,philadelphia-eagles,1536,,,
2019,PIT,PIT,3900,PIT,PIT,25.0,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,pittsburgh-steelers,1519,,,
2019,SEA,SEA,4600,SEA,SEA,29.0,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,seattle-seahawks,1548,,,
2019,SF,SF,4500,SF,SFO,28.0,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,san-francisco-49ers,1547,,,
2019,TB,TB,4900,TB,TAM,30.0,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,tampa-bay-buccaneers,1544,,,
2019,TEN,TEN,2100,TEN,OTI,31.0,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,tennessee-titans,1528,,,
2019,WAS,WAS,5110,WSH,WAS,32.0,WAS,WAS,Washington Redskins,Washington,Washington,Redskins,washington-redskins,1537,,,
