Employee ID,Age,Salary,YOE,Department,Job Title,Performance Rating,Education Level
1,57,90788,9,Finance,Manager,Outstanding,Bachelors
2,32,58734,7,Customer Service,Clerk,Outstanding,Masters
3,28,65207,1,Sales,Clerk,Outstanding,PhD
4,29,83856,1,HR,Director,Meets Expectations,Masters
5,31,67558,2,HR,Clerk,Meets Expectations,Masters
6,25,96723,3,Marketing,Analyst,Outstanding,Masters
7,35,74646,8,Sales,Manager,Exceeds Expectations,PhD
8,20,75228,8,Sales,Associate,Needs Improvement,PhD
9,36,73847,5,IT,Coordinator,Exceeds Expectations,Masters
10,21,68662,5,Customer Service,Director,Needs Improvement,Bachelors
11,32,96163,1,Customer Service,Associate,Exceeds Expectations,PhD
12,27,51200,2,Marketing,Coordinator,Needs Improvement,PhD
13,26,66701,1,R&D,Clerk,Meets Expectations,PhD
14,45,52502,9,HR,Coordinator,Needs Improvement,Bachelors
15,40,69213,6,IT,Clerk,Meets Expectations,PhD
16,57,98534,7,IT,Director,Exceeds Expectations,Bachelors
17,38,76050,3,Customer Service,Associate,Exceeds Expectations,Masters
18,40,90570,6,HR,Manager,Outstanding,Bachelors
19,31,77100,5,Marketing,Coordinator,Meets Expectations,Bachelors
20,48,61754,4,Finance,Coordinator,Exceeds Expectations,Bachelors
21,49,57519,1,Sales,Manager,Needs Improvement,PhD
22,34,85721,7,Finance,Intern,Needs Improvement,PhD
23,24,73209,3,IT,Coordinator,Exceeds Expectations,PhD
24,43,76041,2,Sales,Manager,Exceeds Expectations,Bachelors
25,43,79528,5,IT,Director,Needs Improvement,Masters
26,50,69190,5,Customer Service,Associate,Exceeds Expectations,Bachelors
27,52,78381,1,Marketing,Coordinator,Exceeds Expectations,Masters
28,42,97860,9,IT,Associate,Needs Improvement,PhD
29,33,64028,8,R&D,Clerk,Meets Expectations,Masters
30,29,54946,8,Sales,Clerk,Meets Expectations,PhD
31,27,95418,7,IT,Manager,Exceeds Expectations,PhD
32,42,66489,2,Finance,Coordinator,Needs Improvement,Masters
33,21,79840,8,Finance,Intern,Needs Improvement,Masters
34,20,55278,3,HR,Manager,Exceeds Expectations,Bachelors
35,37,81859,5,Finance,Manager,Meets Expectations,PhD
36,28,72740,6,Sales,Associate,Needs Improvement,Masters
37,44,90889,7,R&D,Associate,Outstanding,PhD
38,33,87201,8,R&D,Coordinator,Needs Improvement,Bachelors
39,28,63058,3,Sales,Analyst,Needs Improvement,Masters
40,50,93101,1,Finance,Coordinator,Needs Improvement,PhD
41,27,94196,6,IT,Intern,Outstanding,PhD
42,23,95677,3,R&D,Coordinator,Exceeds Expectations,PhD
43,26,65662,8,Sales,Director,Outstanding,Masters
44,41,71328,8,IT,Manager,Meets Expectations,Bachelors
45,23,69227,2,HR,Clerk,Exceeds Expectations,PhD
46,24,89240,2,Marketing,Intern,Exceeds Expectations,Bachelors
47,44,89452,5,R&D,Manager,Outstanding,PhD
48,32,63954,7,R&D,Coordinator,Needs Improvement,Masters
49,46,84531,6,IT,Associate,Needs Improvement,PhD
50,36,89309,7,Sales,Analyst,Outstanding,Bachelors
51,38,96505,5,HR,Manager,Outstanding,PhD
52,35,77940,2,Marketing,Analyst,Meets Expectations,Masters
53,20,56884,2,Sales,Intern,Outstanding,PhD
54,24,79864,6,IT,Manager,Outstanding,Bachelors
55,45,55138,2,Marketing,Clerk,Meets Expectations,Masters
56,54,54321,3,Customer Service,Analyst,Meets Expectations,PhD
57,43,57078,7,Customer Service,Associate,Outstanding,Masters
58,27,52547,3,Sales,Intern,Meets Expectations,Masters
59,46,84350,4,R&D,Coordinator,Meets Expectations,PhD
60,45,90296,4,Marketing,Associate,Needs Improvement,PhD
61,42,64553,3,HR,Intern,Needs Improvement,PhD
62,29,52559,4,R&D,Analyst,Needs Improvement,PhD
63,23,81077,1,IT,Manager,Outstanding,Masters
64,59,81842,1,Finance,Analyst,Meets Expectations,Masters
65,43,75291,2,Customer Service,Coordinator,Meets Expectations,Bachelors
